gene,drug_id,rho,pvalue,n_lines,fdr,name
GSTT2B,BRD-K00076620-001-02-9,0.17168916488183214,4.207141383471661e-07,858,6.18073470453829e-07,CE-245677
PAX8,BRD-K91876515-001-03-9,0.17170740341820792,3.07669597255233e-07,878,4.6861217510911083e-07,S63845
CLMP,BRD-K00003237-001-01-9,0.17170824487072636,3.076280674156491e-07,878,4.6857945722357606e-07,mavatrep
HSF4,BRD-K00091066-075-01-9,0.17171346085993194,4.191136756419444e-07,858,6.159932604140061e-07,T-1101 (tosylate)
CCNE2,BRD-K00076493-001-02-9,0.17171591843700673,4.189521132347223e-07,858,6.157945280499296e-07,NRC-2694
ZEB1,BRD-K51329597-001-02-9,0.17171645993132817,3.1689574962142866e-07,876,4.808470726580555e-07,AZM-475271
PXN,BRD-K89669299-001-04-9,0.17171726440697047,4.1886365388620456e-07,858,6.157032275866901e-07,Pericyazine
RRAS2,BRD-K01826330-001-01-9,0.17172265826025293,3.0691753382879526e-07,878,4.6755811502063635e-07,etifoxine
PAX8,BRD-K00003351-003-01-9,0.1717231740736257,3.0689213523494167e-07,878,4.67549897966955e-07,methacycline
BMPR1B,BRD-K00003305-001-01-9,0.17172368141711053,3.0686715567374673e-07,878,4.67542318279453e-07,BMS-779788
ARF4,BRD-K69555850-001-02-9,0.17173019144379972,3.3125392981820976e-07,873,5.0042446174851e-07,AZD0156
CLMP,BRD-K00004736-001-01-9,0.17173875997352436,3.308013383581066e-07,873,4.998376571053573e-07,betamethasone-butyrate-propionate
BMPR1B,BRD-K20239555-001-02-9,0.17173902796755744,3.061124785555222e-07,878,4.6654456138243656e-07,A-887826
BAMBI,BRD-K00004701-001-01-9,0.17174798558395024,3.0567280881664313e-07,878,4.659352303960467e-07,KPT-9274
MITF,BRD-K00077460-001-02-9,0.1717480899889939,4.1684266284753697e-07,858,6.130795240118705e-07,Ilorasertib
FOXF1,BRD-K58726989-001-02-7,0.17175117932152556,3.055161967572766e-07,878,4.657268817252197e-07,HTH-01-015
TCF7L2,BRD-K56932272-001-02-9,0.17175550652950058,3.1492092704742267e-07,876,4.782541849871581e-07,BMS-566419
ITGB3,BRD-K50387473-001-11-0,0.1717581484241778,3.147877397482621e-07,876,4.780829848200911e-07,XMD8-92
FOSL1,BRD-K00003195-001-01-9,0.1717721087137675,3.044917897855937e-07,878,4.642864111996931e-07,LY2795050
ARHGEF12,BRD-K00005263-001-02-9,0.17178559384687828,4.143964919584173e-07,858,6.099807790686566e-07,MIK665
PHLDB2,BRD-K77897005-001-02-9,0.1717892883903073,3.0365339086618384e-07,878,4.632498075277055e-07,ridinilazole
TNFRSF12A,BRD-K00004646-001-01-9,0.17179256668876589,3.034936570628165e-07,878,4.6304493803937397e-07,aramchol
EBF1,BRD-K00010386-001-01-9,0.17180939702148246,3.0267488015488703e-07,878,4.618775985231144e-07,RMC-4550
GRHL2,BRD-K00090647-001-01-9,0.17181228297072912,4.1266413344047984e-07,858,6.077369960158094e-07,Senaparib
GSTT2B,BRD-K25611237-001-02-1,0.17181527180376024,3.1192118945976787e-07,876,4.744385031923529e-07,ML324
TNS3,BRD-K00091122-001-01-9,0.17181653711018852,4.1238864774457814e-07,858,6.074078318052861e-07,Belvarafenib
RAC1,BRD-K00003220-001-01-9,0.17181789740762046,3.0226215553446343e-07,878,4.612779039602664e-07,acumapimod
ITGB3,BRD-K00003420-001-01-9,0.17182222286920226,3.2642387170718727e-07,873,4.93925853265595e-07,GDC-0077
BAMBI,BRD-K00003454-001-01-9,0.17183004715754965,3.0167318274581005e-07,878,4.6043921028766875e-07,seclidemstat
DOCK5,BRD-K33445938-001-01-8,0.17183458653687922,3.257801876260043e-07,873,4.93047629683026e-07,N-methylformamide
ARF4,BRD-K00090626-001-01-9,0.17183578184007517,4.11144626579775e-07,858,6.058427723612952e-07,PTC596
VCL,BRD-K94883909-001-17-7,0.17184023308354748,3.1067650341946797e-07,876,4.7272989830207066e-07,SU9516
CCND1,BRD-K00078128-001-02-9 - QC Failure,0.17184416812757397,4.1060365018384833e-07,858,6.051766163952381e-07,Namitecan - QC Failure
PXN,BRD-K00003201-001-01-9,0.17187421034141065,2.9954162732925014e-07,878,4.5742482286437335e-07,tenapanor
ALDH3A1,BRD-K23614267-001-01-2,0.17188437669160847,3.084870066915576e-07,876,4.697347267180327e-07,GW-1100
FOXA2,BRD-K00029607-334-02-9,0.17188702557840618,4.0784972067246415e-07,858,6.017843226992949e-07,Netarsudil mesylate
DOCK10,BRD-K00010386-001-01-9,0.17190796628543142,2.9792217872838907e-07,878,4.55070724870264e-07,RMC-4550
KLF5,BRD-K20239555-001-02-9,0.17191876265099432,2.9740600452257065e-07,878,4.5440106803304705e-07,A-887826
SMAD7,BRD-K53281329-300-01-5,0.17191914090150817,3.0677319858394175e-07,876,4.674296366975609e-07,BAY-61-3606
CLTB,BRD-K00003406-001-01-9,0.17192412899774498,2.971497603485655e-07,878,4.540986137613883e-07,milademetan
TNFRSF12A,BRD-K06408664-001-04-9,0.17193197509661506,2.9677549051985947e-07,878,4.535563175590241e-07,fludrocortisone-acetate
ILK,BRD-K00003181-001-01-9,0.17193808096261662,3.2043977068250774e-07,873,4.857831173634022e-07,cenicriviroc
WWTR1,BRD-K00003133-001-01-9,0.17194317948385007,2.9624181336167817e-07,878,4.528295396918994e-07,velpatasvir
CCND1,BRD-K00003285-001-01-9,0.1719452548288787,2.961430640183124e-07,878,4.52737813463893e-07,nemiralisib
PAX8,BRD-K00003154-001-01-9,0.1719525691428173,2.9579528628300153e-07,878,4.5226530361156035e-07,imisopasem-manganese
SPDEF,BRD-K00003166-001-01-9,0.1719527818135604,2.957851802017605e-07,878,4.5226530361156035e-07,GSK189254
BATF,BRD-K00004701-001-01-9,0.1719539867541669,2.957279278929602e-07,878,4.5222148198863296e-07,KPT-9274
NAV2,BRD-K00003225-003-01-9,0.17195479902084249,2.9568933936925227e-07,878,4.521920591335578e-07,eleclazine
ZBTB7B,BRD-K00005340-001-01-9,0.1719572346514497,2.9557365845056454e-07,878,4.520447287859308e-07,SBI-115
VCL,BRD-K81048131-001-03-9,0.17196232696423594,3.046569881250365e-07,876,4.644776990514256e-07,AG-556
MECOM,BRD-K00003156-066-01-9,0.17196262695919076,2.9531770456100745e-07,878,4.5174195896327414e-07,eribulin
BMPR1B,BRD-K00073937-001-02-9,0.17196511563171324,4.028774923506101e-07,858,5.954627680527705e-07,RP-54745
JUN,BRD-K00079404-001-02-9,0.17196605536136245,4.0281801397333826e-07,858,5.95422567232132e-07,LAS101057
CDH2,BRD-K00003463-001-01-9,0.1719674484151324,2.950890279389874e-07,878,4.514808039401685e-07,pyrotinib
TRPS1,BRD-K00003417-001-01-9,0.17199024946298924,3.177799070863409e-07,873,4.820947675205737e-07,MRX-2843
ITGB5,BRD-K00003168-003-01-9,0.17199393519071698,2.938358291815593e-07,878,4.497989913303251e-07,BMS-582949
BCAR3,BRD-K77897005-001-02-9,0.1719964279507164,2.937181509085747e-07,878,4.496483017642764e-07,ridinilazole
