gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
PREX1,-0.6627450980392158,2.0,,,,,-0.2075724317080265,48.0,{3-[(aminocarbonyl)amino]-2-methoxypropyl}(chloro) - QC Failure,0.0037626906891774,1.0,1.207415097050525,0.3986831710189893,5
ZNF281,-0.4016276606884837,1.0,,,,,0.1536972232002217,11.0,pyrotinib,,,,0.3984455990445821,3
PLCG2,-0.4334960463272202,1.0,,,,,-0.2585897135571708,79.0,guadecitabine,0.0011599316047665,2.0,0.795163697447407,0.39798307498471247,5
MYOD1,-0.593270513935026,1.0,,,,,0.1771584944017201,1.0,trilaciclib,5.109819200787245e-06,2.0,1.2651657333512087,0.3973089882337491,5
GATA2,-0.6719222345986323,1.0,,,,,-0.2006468253756835,28.0,cbl0137,0.0006212651624239,1.0,0.7837950891998559,0.39725414814723614,5
MEF2B,-0.6396795630281504,1.0,,,0.086013418351663,1.0,-0.2312357430225469,50.0,sapacitabine,9.92995353885658e-05,2.0,0.8110210910157807,0.3956223862465783,6
ETS1,-0.5126931039974519,1.0,,,0.1383351156172641,2.0,-0.2847548425520222,30.0,PRLX-93936,0.0001366169902934,1.0,0.7816967209058218,0.3951747264664721,6
PXN,-0.3647417883525338,1.0,,,-0.1959459681811525,2.0,-0.3604457517464942,349.0,amiselimod,0.0009317695555313,1.0,1.2899018423982234,0.3931936219286474,6
GPC1,-0.512987012987013,1.0,,,-0.0878283719236912,1.0,-0.3136348865527771,313.0,amiselimod,0.0009460804379844,3.0,1.3054204132590153,0.3931055648580211,6
PCDHB12,,,0.2320559053950416,0.0234284713736895,0.0873279183283769,3.0,,,,0.0023936118394957,2.0,1.330440349606075,0.39282852711045907,4
NUMB,-0.5720214766435309,1.0,,,-0.1221476720484058,2.0,-0.1840065889144668,25.0,VLX1570,4.933153379704254e-07,1.0,0.7231623750773573,0.39253872151290925,6
MAFK,-0.3314878290244014,1.0,,,,,-0.3183287949821854,159.0,VLX1570,0.0008306892778733,2.0,1.2446723059506315,0.38941653020770495,5
KLHL22,-0.5405484017860471,1.0,,,,,-0.1687112153367147,33.0,NS-309,3.610002087504553e-05,1.0,0.7629152910476366,0.38901407887122785,5
CLMP,-0.513731994857637,1.0,,,-0.1344411656365833,4.0,-0.2145115998833517,80.0,cinobufotalin,0.0001044302490934,2.0,1.2800086622969196,0.38839086925384647,6
CRKL,-0.3277979130928274,1.0,,,-0.2602421381998794,6.0,-0.2027419282597986,6.0,KPT-9274,,,,0.38794454328314104,4
NIF3L1,-0.4185740250976807,1.0,,,,,0.1505875372700913,8.0,PF-06747775,,,,0.3871166323980252,3
TCF3,-0.4263593978350319,1.0,,,,,-0.3520066880923019,181.0,banoxantrone,0.0019062772668157,1.0,1.2694109973842689,0.38697909612866954,5
PMPCA,-0.5225563909774437,1.0,,,,,-0.2299166624774431,12.0,DpC,0.0002381906885106,2.0,1.049932064098134,0.38667442328133533,5
CMIP,-0.5366459627329193,1.0,,,-0.1477571087052742,4.0,-0.1545114573509058,2.0,PF-06747775,,,,0.3866362301621502,4
TFAP2C,-0.5431452581032412,2.0,,,0.1412491999216787,4.0,-0.2420910273690204,218.0,VLX1570,0.0020557358084522,1.0,1.2320092773809166,0.38631815509535705,6
FGFR1,-0.3988043415255026,1.0,,,-0.2472214738410248,4.0,-0.2676717457505918,53.0,MK-0429,4.96510754385232e-05,1.0,1.339936208624446,0.3844809224215412,6
KLF5,-0.5974415149454811,2.0,0.1637178101982803,0.0101715454852122,0.1690201804666212,2.0,-0.4720827308045306,277.0,Theliatinib,0.0009948726048752,3.0,1.0795293897834015,0.38412714230309897,7
RBFOX2,-0.4214387166000767,1.0,,,,,-0.3213288228469784,159.0,MK-0429,0.0012615841974553,1.0,0.8097091904455045,0.3838339735618457,5
MTAP,-0.5980026692986414,1.0,,,,,0.1540096528034757,4.0,mandelic-acid,1.3867042369401865e-07,1.0,0.7235471100090437,0.38329655097409127,5
TBC1D12,-0.402696049437232,1.0,,,,,-0.1553566077028629,12.0,MK-0429,,,,0.38255192622597606,3
