gene,drug_id,name,rho,pvalue,fdr,n_lines
JUN,BRD-K00003343-001-01-9,VLX1570,-0.3209541154915996,1.7400331955506815e-22,6.171176911443176e-21,878
FOSL1,BRD-K00091071-001-01-9,PF-06952229,-0.320287801674448,6.412214105839078e-22,2.0334636103347475e-20,858
TCF3,BRD-K00003236-001-01-9,firsocostat,-0.3202313971997215,2.1865593125054817e-22,7.559802404123983e-21,878
ME2,BRD-K00004726-001-01-9,ametantrone,-0.3202089768760631,2.8940618931780167e-22,9.746399793567234e-21,873
GRHL2,BRD-K00090632-066-01-9 - QC Failure,AST2818 (mesylate) - QC Failure,-0.3200064904870526,6.993354377200556e-22,2.1939419933413606e-20,858
TCF3,BRD-K00003156-066-01-9,eribulin,-0.3198104350244367,2.497008869052327e-22,8.544669295386676e-21,878
BCL2,BRD-K00003375-004-01-9,visomitin,-0.3194739169822758,2.7761750813999693e-22,9.389980318738071e-21,878
WWTR1,BRD-K00003313-001-01-9,trabectedin,-0.3193860826365184,2.8539781821739987e-22,9.625278221323332e-21,878
FAM83H,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.3190513884982975,9.38230666351677e-22,2.836782294174825e-20,858
BCAR3,BRD-K00091071-001-01-9,PF-06952229,-0.3188435549085076,1.0000464589071553e-21,3.008119155415447e-20,858
FAM83H,BRD-K00003501-001-01-9,lazertinib,-0.3183947443655704,3.8963247687993513e-22,1.2808003164047598e-20,878
MAFK,BRD-K00003343-001-01-9,VLX1570,-0.3183287949821854,3.977697476238233e-22,1.3057127164977523e-20,878
MECOM,BRD-K00091285-001-01-9,Theliatinib,-0.3180766455301204,1.2649823238300848e-21,3.7235726539744014e-20,858
ME2,BRD-K00003267-003-01-9,ombrabulin,-0.3175157205618152,5.130010735049113e-22,1.649224359003684e-20,878
CCND1,BRD-K00003223-003-01-9,amiselimod,-0.3173837691410301,6.990570440925541e-22,2.1939419933413606e-20,873
DOCK5,BRD-K00003343-001-01-9,VLX1570,-0.3172966172213422,5.493302406081389e-22,1.7611723434147358e-20,878
MYB,BRD-K00003214-001-01-9,sapacitabine,-0.3170382731911981,5.954413100656851e-22,1.8934223535857404e-20,878
MYB,BRD-A73891132-001-02-9,OXF-BD-02,-0.3169944405954266,6.03635607197171e-22,1.9168711156810162e-20,878
HDLBP,BRD-K00003313-001-01-9,trabectedin,-0.3167917402384873,6.430016221714133e-22,2.0363460587249687e-20,878
TNFRSF12A,BRD-K00003223-003-01-9,amiselimod,-0.3167415893765148,8.53102820382216e-22,2.6132004086465467e-20,873
ATP5F1A,BRD-K00003174-001-01-9,soblidotin,-0.3165598660835718,6.911500667309638e-22,2.176901320576273e-20,878
ELOVL1,BRD-K00003343-001-01-9,VLX1570,-0.3165557286528467,6.920407672377934e-22,2.176901320576273e-20,878
SPINT2,BRD-K00090632-066-01-9 - QC Failure,AST2818 (mesylate) - QC Failure,-0.3164423234561102,2.082584959637002e-21,5.836232095519905e-20,858
ME2,BRD-K00004617-001-01-9,imidazoacridinone,-0.3162080602706316,1.006229511258537e-21,3.022827266983872e-20,873
ERBB2,BRD-K00004573-001-01-9,RG7834,-0.316131968047198,7.895359135777387e-22,2.4376530214186136e-20,878
ME2,BRD-K00003162-001-01-9,crolibulin,-0.3160425522101523,8.11779595253376e-22,2.5030227836757128e-20,878
ME2,BRD-K64857848-001-06-4,ERK5-IN-1,-0.315719698155571,9.978392379161008e-22,3.008119155415447e-20,876
CLTB,BRD-K00003404-001-01-9,CYC065,-0.3153442072496455,1.31363331753204e-21,3.852225583106504e-20,873
PARD6B,BRD-K00091285-001-01-9,Theliatinib,-0.315160102132765,3.0728188312828637e-21,8.399756926870535e-20,858
MYB,BRD-K00003375-004-01-9,visomitin,-0.3151113281866732,1.0835751056350953e-21,3.251003513338054e-20,878
TCF3,BRD-K00003396-001-01-9,CEP-40783,-0.3150986407758409,1.0878393008347858e-21,3.259612838347514e-20,878
ITGAV,BRD-K00003431-001-01-9,ziritaxestat,-0.3149517143173443,1.138444577679777e-21,3.393842687440274e-20,878
ME2,BRD-K00003156-066-01-9,eribulin,-0.3148100008240403,1.189454830238166e-21,3.527910950802845e-20,878
TRIO,BRD-K00076647-001-02-9,MK-0429,-0.314325791823528,3.953821231224903e-21,1.0512936270328605e-19,858
GFI1,BRD-K00003102-001-01-9,INCB-057643,-0.3142978811696771,1.393331039555394e-21,4.060465468390108e-20,878
ME2,BRD-K00003222-001-01-9,tradipitant,-0.3142819076187277,1.4002164693567008e-21,4.075449479676813e-20,878
DKK1,BRD-K00003223-003-01-9,amiselimod,-0.3142638839245541,1.8311728239512157e-21,5.2129319417037525e-20,873
GRHL2,BRD-K00003413-001-01-9,zanubrutinib,-0.3140475807384501,1.956775476256375e-21,5.530079374977508e-20,873
WWTR1,BRD-K00003404-001-01-9,CYC065,-0.3137323680014458,2.1551869418705743e-21,6.025242727918548e-20,873
GPC1,BRD-K00003223-003-01-9,amiselimod,-0.3136348865527771,2.2204764267491784e-21,6.199896768293378e-20,873
SPINT2,BRD-K00076465-001-02-9,ZD-4190,-0.3133779352201813,5.259877076063946e-21,1.3720295426536446e-19,858
TCF3,BRD-K00003267-003-01-9,ombrabulin,-0.3132444729079031,1.9273452199695705e-21,5.465231898933341e-20,878
EGFR,BRD-K00003404-001-01-9,CYC065,-0.313029154089367,2.6722492248876373e-21,7.38248331963048e-20,873
LIF,BRD-K00003431-001-01-9,ziritaxestat,-0.3129149705932987,2.132642284936832e-21,5.969355147729776e-20,878
ME2,BRD-K39576764-071-01-6,mivobulin,-0.3125271286625817,2.665084546482812e-21,7.380136969241266e-20,876
PIK3CD,BRD-K97152684-001-03-9,PD-161570,-0.3123637529992276,2.8015917540621025e-21,7.72155689574758e-20,876
GFI1,BRD-K00003423-001-01-9,BMS-986158,-0.3123474638421168,3.2898148827146287e-21,8.930261723438596e-20,873
ME2,BRD-K00003173-001-01-9,SJG-136,-0.3116269565270756,3.163882809581311e-21,8.618446273372309e-20,878
PIM2,BRD-K00003388-001-01-9,CXD101,-0.3114316836133765,4.346132632940109e-21,1.1438942781202277e-19,873
ERBB2,BRD-K00090632-066-01-9 - QC Failure,AST2818 (mesylate) - QC Failure,-0.3111701857840066,1.0185145536088416e-20,2.5216866681086702e-19,858
PARD6B,BRD-K00069020-001-02-9,Mobocertinib,-0.3109313684715927,1.0936208528409032e-20,2.6848851441804195e-19,858
HDLBP,BRD-K00003223-003-01-9,amiselimod,-0.3100856458003642,6.532557421895103e-21,1.670447834404074e-19,873
CCND1,BRD-K00003291-001-01-9,BEBT-908,-0.3097040846939043,5.680546529007157e-21,1.4735375524523337e-19,878
GFI1,BRD-K00005242-001-01-9,TEN-010,-0.3095652008631906,5.924826020969397e-21,1.531803470819654e-19,878
ATP5F1A,BRD-K00003375-004-01-9,visomitin,-0.3095300904360691,5.988205627156097e-21,1.5464493697309997e-19,878
GFI1,BRD-K00003099-001-01-9,PLX51107,-0.3092199453032221,6.5779380196407006e-21,1.6802138513119398e-19,878
ATP5F1A,BRD-K00003237-001-01-9,mavatrep,-0.3087887106164576,7.4942617072446e-21,1.8935771310456305e-19,878
EGFR,BRD-K00003343-001-01-9,VLX1570,-0.3087219863125993,7.646877712581788e-21,1.927970074417061e-19,878
YAP1,BRD-K00076647-001-02-9,MK-0429,-0.3078183806939005,2.7482933375015913e-20,6.230175740454624e-19,858
CLTB,BRD-K00003273-003-01-9,cbl0137,-0.3076266216638076,1.063879167303586e-20,2.620124752183289e-19,878
CD63,BRD-K00076647-001-02-9,MK-0429,-0.3074607945405219,3.053002790165622e-20,6.867640155125208e-19,858
EGFR,BRD-K00003354-001-01-9,cinobufotalin,-0.3074056519315351,1.4613094718292443e-20,3.506542605297033e-19,873
ME2,BRD-K00003236-001-01-9,firsocostat,-0.3071911048013255,1.212672034351647e-20,2.9585146959151035e-19,878
GPC1,BRD-K00003343-001-01-9,VLX1570,-0.3069518686380587,1.3029624471310732e-20,3.1557345403468856e-19,878
PIM2,BRD-K00003396-001-01-9,CEP-40783,-0.306803790828383,1.3621406488698208e-20,3.285443884972699e-19,878
FAM83H,BRD-K00003343-001-01-9,VLX1570,-0.3067373538024075,1.3895465546152332e-20,3.3480909355120858e-19,878
FAM83H,BRD-K00004573-001-01-9,RG7834,-0.3067029137787297,1.4039668785222295e-20,3.379352614296761e-19,878
TCF4,BRD-K00003236-001-01-9,firsocostat,-0.3066829870821526,1.4123777089054366e-20,3.392609641576348e-19,878
HDLBP,BRD-K00003404-001-01-9,CYC065,-0.306582134736745,1.8683722539180844e-20,4.379899329846887e-19,873
ME2,BRD-K00003454-001-01-9,seclidemstat,-0.3064794218175595,1.501201118938874e-20,3.5935121048105924e-19,878
HDLBP,BRD-K00003273-003-01-9,cbl0137,-0.3064230246808432,1.5267700121299242e-20,3.6449099819714587e-19,878
GRHL2,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.3063401203954652,4.2406369395335294e-20,9.280165407376182e-19,858
ITGB3,BRD-K00076647-001-02-9,MK-0429,-0.3057518894595316,5.0360280866275556e-20,1.0829135086541876e-18,858
ME2,BRD-K00003375-004-01-9,visomitin,-0.3057115183424873,1.8887370430100428e-20,4.423202622167407e-19,878
TNFRSF12A,BRD-K00003431-001-01-9,ziritaxestat,-0.3056994980331897,1.8955284195930764e-20,4.434663685958897e-19,878
NAV2,BRD-K00003223-003-01-9,amiselimod,-0.3055690671529157,2.5251308934825543e-20,5.774692685173607e-19,873
BCL2,BRD-K00003174-001-01-9,soblidotin,-0.3051408041142701,2.239247717026826e-20,5.166406479995162e-19,878
JUN,BRD-K00003273-003-01-9,cbl0137,-0.3047477235923629,2.517254024709522e-20,5.767966771128524e-19,878
RBM47,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.3046940601657927,6.853601824757693e-20,1.4340410192322005e-18,858
ME2,BRD-K00003417-001-01-9,MRX-2843,-0.3046696371799766,3.296104311978195e-20,7.357836674264983e-19,873
TCF3,BRD-K39576764-071-01-6,mivobulin,-0.3044571337948127,3.028182869834989e-20,6.8183709088423295e-19,876
TRIO,BRD-K00003354-001-01-9,cinobufotalin,-0.3043577099864866,3.614416007116431e-20,8.007216200789122e-19,873
KLF5,BRD-K00090632-066-01-9 - QC Failure,AST2818 (mesylate) - QC Failure,-0.3035162277011859,9.64467358996208e-20,1.948274080765719e-18,858
LIF,BRD-K00003291-001-01-9,BEBT-908,-0.303278062902597,3.892848433593271e-20,8.575273665404518e-19,878
FAM120A,BRD-K00003343-001-01-9,VLX1570,-0.303204083231306,3.978963506750635e-20,8.748479311361791e-19,878
TCF3,BRD-K00003162-001-01-9,crolibulin,-0.303173985390364,4.014534077980104e-20,8.81839196151795e-19,878
TCF3,BRD-K00003173-001-01-9,SJG-136,-0.3026711125763858,4.657444066614219e-20,1.0088395062549357e-18,878
CCND1,BRD-K00003343-001-01-9,VLX1570,-0.3025657244793389,4.804538439840087e-20,1.03590103704744e-18,878
GRHL2,BRD-K00076465-001-02-9,ZD-4190,-0.3024851461050553,1.2990155670336743e-19,2.5556053731238245e-18,858
ERBB2,BRD-K00003273-003-01-9,cbl0137,-0.3023290316534368,5.151816532843512e-20,1.102639707011159e-18,878
MYB,BRD-K30233223-001-04-9,A-485,-0.3021373960717933,5.451035688463582e-20,1.1634849873129756e-18,878
PXN,BRD-K00004573-001-01-9,RG7834,-0.3020663614219163,5.566251668101289e-20,1.1848309106271706e-18,878
RBM47,BRD-K00003501-001-01-9,lazertinib,-0.301987957838455,5.696210909344223e-20,1.210289467029029e-18,878
