Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
TIPARP,Esophagus/Stomach,-0.5836474717220757,-0.7261017610119738,-0.390363656320515,1.0,1.0,62,1774.0,1.0,0.0
PIM2,Lymphoid,-0.582812650019065,-0.7102622716831901,-0.43410061777687,1.0,1.0,91,1442.0,1.0,0.0
MDM2,Bowel,-0.582133933180595,-0.7403413444358145,-0.4114799906393915,1.0,1.0,59,1557.0,1.0,0.0
GRHL2,Skin,-0.5819240291071346,-0.7239727150229673,-0.4354116880557745,1.0,1.0,73,1665.0,1.0,0.0
SOX2,Ovary/Fallopian Tube,-0.5818366883260568,-0.7387098300524104,-0.3905131929995431,1.0,1.0,56,1589.0,1.0,0.0
MAFF,Skin,-0.58092343802655,-0.731130713821259,-0.4286537937649735,1.0,1.0,73,1622.0,1.0,0.0
TCF7L2,Biliary Tract,-0.5800923393691025,-0.7739392580203326,-0.3398916219322245,1.0,0.9995,35,1616.0,1.0,0.0154285714285697
FERMT1,Skin,-0.5797489054316687,-0.7176477817820914,-0.4191977539209242,1.0,1.0,73,1682.0,1.0,0.0
ZEB2,Lymphoid,-0.5794425758756377,-0.7117145395338034,-0.4408721957226281,1.0,1.0,91,1202.0,1.0,0.0
CCND3,Lung,-0.5775780305132194,-0.6924502397184948,-0.4621194451380543,1.0,1.0,123,1852.0,1.0,0.0
CDKN2A,Head and Neck,-0.5766179566583896,-0.7445603539836487,-0.4155574685834549,1.0,1.0,61,1483.0,1.0,0.0
BCL2,Lung,-0.5732373787485292,-0.6861342325765016,-0.4446053049320948,1.0,1.0,123,1787.0,1.0,0.0
GAB2,Myeloid,-0.572171694370373,-0.7501711295688749,-0.3348587336492321,1.0,0.9995,39,1660.0,1.0,0.026999999999997
TNFAIP3,Peripheral Nervous System,-0.5715902626436398,-0.7731965740693332,-0.3146758224078134,1.0,1.0,37,1554.0,1.0,0.0
PAX8,Soft Tissue,-0.5714531166215231,-0.7549670912055984,-0.3575422668299168,1.0,0.9995,45,1705.0,1.0,0.0077142857142848
CDH2,Bone,-0.5708726797616083,-0.7629698570559431,-0.3192340856210425,1.0,0.9975,35,1663.0,1.0,0.0385714285714277
MECOM,Ovary/Fallopian Tube,-0.5705213816389517,-0.7529774793047841,-0.386825396812166,1.0,1.0,56,1676.0,1.0,0.0
ZNF217,Soft Tissue,-0.5704883532613032,-0.7566774653485617,-0.3521642760324162,1.0,1.0,45,1491.0,1.0,0.0
KLF5,Lung,-0.5670360354629245,-0.6869689747229555,-0.438508542260109,1.0,1.0,123,1535.0,1.0,0.0
MDM2,Lymphoid,-0.5669805037101654,-0.6949733209917413,-0.4181057302427096,1.0,1.0,91,1560.0,1.0,0.0
TNS3,Breast,-0.5661656882998967,-0.7416947723968155,-0.3628544639863315,1.0,1.0,50,1648.0,1.0,0.0
KLHL9,CNS/Brain,-0.5650245001638667,-0.7081934110899697,-0.4161588400346019,1.0,1.0,82,1904.0,1.0,0.0
NEDD9,CNS/Brain,-0.5639342233005574,-0.7052283079942814,-0.4154508325214717,1.0,1.0,82,1480.0,1.0,0.0
SNAI2,Esophagus/Stomach,-0.5628852186707413,-0.7266003572068929,-0.3976373060161945,1.0,1.0,62,1524.0,1.0,0.0
TEAD3,Bladder/Urinary Tract,-0.561652142851565,-0.7793600134467389,-0.31491830225735,0.9995,0.998,34,1461.0,1.0,0.0332307692307692
KLF5,Uterus,-0.5612407095432513,-0.7766476841800558,-0.3053740613807995,0.998,0.9965,34,1434.0,1.0,0.0444705882352934
EZR,Pancreas,-0.560899451979259,-0.745027498783672,-0.3598279749749971,1.0,0.9995,45,1515.0,1.0,0.017999999999998
IRF4,Skin,-0.5607008056672868,-0.7145038506859644,-0.4005021994536348,1.0,1.0,73,1973.0,1.0,0.0
WWTR1,CNS/Brain,-0.5600139290065188,-0.6965982849234815,-0.3858285944228543,1.0,1.0,82,1589.0,1.0,0.0
SOX2,Bowel,-0.5589229660754849,-0.7181360497722717,-0.3602689507138157,1.0,1.0,59,1979.0,1.0,0.0
PIK3CD,Lymphoid,-0.5582655791400644,-0.6955866250868084,-0.4076983799975142,1.0,1.0,91,1729.0,1.0,0.0
CFLAR,Uterus,-0.5561185706045861,-0.7695522864912199,-0.2990813434299713,1.0,0.999,34,1554.0,1.0,0.018
TFAP2A,Skin,-0.5559135294162793,-0.7035237117948523,-0.3851213769462636,1.0,1.0,73,1729.0,1.0,0.0
ITGB5,Peripheral Nervous System,-0.5554351397855425,-0.7688046487136238,-0.3075373318332314,1.0,0.999,37,1408.0,1.0,0.024
HMGA2,Peripheral Nervous System,-0.5538952025573576,-0.7519292412269576,-0.2872953725433604,1.0,0.9995,37,1628.0,1.0,0.017999999999998
GPX8,Bladder/Urinary Tract,-0.5536005025755486,-0.7551505730466868,-0.2856485932922015,1.0,0.9975,34,1637.0,1.0,0.0337499999999992
GATA3,Lymphoid,-0.5535533508517355,-0.6957764562915323,-0.4154737444670134,1.0,1.0,91,1687.0,1.0,0.0
SOX2,CNS/Brain,-0.5516865706656147,-0.6987721869710153,-0.3995230666316268,1.0,1.0,82,1741.0,1.0,0.0
BTBD3,Peripheral Nervous System,-0.5515696074291804,-0.7646003522066072,-0.3215086305592231,1.0,0.999,37,1702.0,1.0,0.024
PARD6B,Biliary Tract,-0.5513263598857329,-0.7656744292723594,-0.2983927999013964,1.0,0.9995,35,1615.0,1.0,0.0154285714285697
ZNF217,Uterus,-0.5507292633784587,-0.7575078838570308,-0.2971267304343863,1.0,0.999,34,1688.0,1.0,0.018
HIC2,Esophagus/Stomach,-0.5503447197942877,-0.7177781426919618,-0.3635401731529062,1.0,1.0,62,1842.0,1.0,0.0
BAMBI,Breast,-0.5498173654263215,-0.7366041041028135,-0.3365105372923463,1.0,1.0,50,1516.0,1.0,0.0
FGFR1,Bladder/Urinary Tract,-0.5488734949827784,-0.7684018828974124,-0.2860807889040763,0.9995,0.996,34,1788.0,1.0,0.0454736842105263
GRHL2,Esophagus/Stomach,-0.5482587833864672,-0.6980653304543316,-0.3548427001841573,1.0,1.0,62,1605.0,1.0,0.0
CCND2,Bowel,-0.5481290305167701,-0.7168634971867134,-0.3529331010587235,1.0,1.0,59,1835.0,1.0,0.0
RAPGEF2,Ovary/Fallopian Tube,-0.5479318053562897,-0.7228327318339343,-0.3482842200704671,1.0,1.0,56,1802.0,1.0,0.0
MDM2,Ovary/Fallopian Tube,-0.547403076561444,-0.7099297894563092,-0.3545325911146098,1.0,1.0,56,1510.0,1.0,0.0
IRF2BP2,Myeloid,-0.5468347521222163,-0.7645823212850291,-0.309328146117012,1.0,0.9995,39,1773.0,1.0,0.026999999999997
CD44,Bone,-0.5452012083108316,-0.7405163225115212,-0.2745583893358328,1.0,0.9985,35,1708.0,1.0,0.024923076923076
CDK6,Bone,-0.5447299199376612,-0.757532163750464,-0.3064262304922711,1.0,0.9995,35,1473.0,1.0,0.0119999999999986
SMAD7,Lymphoid,-0.5447003263959482,-0.6925946798427891,-0.4092902736568333,1.0,1.0,91,1281.0,1.0,0.0
MYC,Uterus,-0.5438565363167595,-0.7485990643204228,-0.2862804506452368,1.0,0.999,34,1676.0,1.0,0.018
KLF5,Biliary Tract,-0.5435958948462898,-0.7672611585839393,-0.2837395646546536,1.0,0.998,35,1593.0,1.0,0.0432
ZEB1,Biliary Tract,-0.5434339738961335,-0.76110997110865,-0.2869885630228062,1.0,0.9995,35,1672.0,1.0,0.0154285714285697
CCND1,Head and Neck,-0.5431333085520581,-0.7163507531225626,-0.3701305220527133,1.0,0.9995,61,1517.0,1.0,0.0071999999999992
KRAS,Soft Tissue,-0.5427057663966594,-0.7339555714535928,-0.3277130892379551,1.0,1.0,45,1562.0,1.0,0.0
TEAD3,Head and Neck,-0.5426634009464217,-0.6948233881504899,-0.3367560810820747,1.0,1.0,61,1609.0,1.0,0.0
CDKN2A,Pancreas,-0.5424809508720028,-0.7295918334330798,-0.3093655216042206,1.0,0.9995,45,1854.0,1.0,0.017999999999998
