Gene,Rho_immune_hot,Rho_immune_cold,Delta_rho,HDI_low_hot,HDI_high_hot,HDI_low_cold,HDI_high_cold,P(rho<0)_hot,P(rho<0)_cold,ESS_hot,ESS_cold,Rhat_hot,Rhat_cold,Z_fisher,P_value,FDR
CMIP,-0.3080853897172335,-0.1400804233409631,-0.1680049663762703,-0.3807146911043526,-0.2287122345667488,-0.2159182696538675,-0.0621118665316453,1.0,1.0,2026.0,2247.0,1.0,1.01,-2.932362111146828,0.0033639426630421,0.0246020793257593
HIC2,-0.4797040443033981,-0.3137867952098919,-0.1659172490935062,-0.542996350337885,-0.4149643762031654,-0.3917149283059058,-0.2426919527201467,1.0,1.0,1687.0,2352.0,1.0,1.0,-3.2701634357575378,0.0010748536351998,0.0087779713541323
BCL11B,-0.4735406556643647,-0.3079844601311395,-0.1655561955332252,-0.5356035018254188,-0.4020132651805765,-0.3774049552379734,-0.2329706031563799,1.0,1.0,1786.0,2404.0,1.0,1.0,-3.2445125897114675,0.0011765181641963,0.0094335365529199
RAPH1,-0.2843230732457921,-0.1199279384923146,-0.1643951347534774,-0.3600238919603589,-0.2000668369077158,-0.2002663843625046,-0.0397220020029731,1.0,0.9965,2033.0,2442.0,1.0,1.0,-2.840636235540617,0.0045023637313984,0.031516546119789
UBE2H,-0.2987687276581766,-0.134969493899896,-0.1637992337582806,-0.3852289432428828,-0.2210114544964536,-0.2108737527127942,-0.0516913700325844,1.0,0.9995,2453.0,2209.0,1.0,1.0,-2.848863237842912,0.0043875736473576,0.0312083867497539
IGFBP3,-0.2781321915060989,-0.1162914300195719,-0.161840761486527,-0.3580634431120144,-0.2015217565271703,-0.1909877157257098,-0.0339359463018071,1.0,0.9965,2409.0,2035.0,1.0,1.0,-2.790480699299858,0.0052629838002098,0.0351663008468569
SP110,-0.2664081874340966,-0.1069941074529868,-0.1594140799811098,-0.339084886795061,-0.1794016209972725,-0.182118452345259,-0.0223885974509009,1.0,0.995,2468.0,2735.0,1.0,1.0,-2.736795901482193,0.0062040771219429,0.0402352648643654
MBNL1,-0.3417698555902489,-0.183161904626689,-0.1586079509635599,-0.420154650283739,-0.2648101727314632,-0.263840027022931,-0.1106229995783106,1.0,1.0,2069.0,2314.0,1.0,1.0,-2.8236372830812946,0.0047482086360245,0.0327181251326067
NFIC,-0.2524739055891563,-0.0940765976325523,-0.1583973079566039,-0.3227964949457948,-0.1627999560779449,-0.1845182996921188,-0.0183784620620305,1.0,0.9855,2080.0,2403.0,1.0,1.0,-2.705548319820371,0.0068191726760421,0.0411952760292407
PSMB7,-0.2255622622380564,-0.067432988215043,-0.1581292740230133,-0.3057034790446702,-0.1465409205492545,-0.1485039956092322,0.0126109137668715,1.0,0.956,2186.0,2530.0,1.0,1.0,-2.6770482562808997,0.0074273936607603,0.0430984290052016
MYO10,-0.2899894185697068,-0.1331280871319936,-0.1568613314377132,-0.3660120899858361,-0.2073797045507466,-0.2108265310949351,-0.0505723816334762,1.0,0.9995,1958.0,2271.0,1.0,1.0,-2.7209835335962973,0.0065088003615665,0.0405683385356952
BCL2L1,-0.4649291706575584,-0.3082491744034985,-0.1566799962540599,-0.5357088953340434,-0.4020310376426886,-0.3733302958256863,-0.2298385548924142,1.0,1.0,1706.0,1972.0,1.0,1.0,-3.057161128838469,0.0022344412941984,0.0172875194866935
BCAR1,-0.3542482824635605,-0.1978794069249659,-0.1563688755385945,-0.4241959264990256,-0.2757312269621978,-0.2773622597108697,-0.1223903757769866,1.0,1.0,2227.0,2586.0,1.0,1.0,-2.8058881641819307,0.0050178104412947,0.034043913917092
EPS8,-0.3144676690193458,-0.1589327415626123,-0.1555349274567335,-0.398967222402006,-0.2363653784812482,-0.2388444774082811,-0.0737942862116467,1.0,1.0,1689.0,2643.0,1.0,1.0,-2.730444503228447,0.0063248981189401,0.040424348847139
CCND1,-0.6692157528739786,-0.5157534089521623,-0.1534623439218163,-0.7160762514725063,-0.6221809479611786,-0.5722695670138922,-0.4576758737888735,1.0,1.0,1581.0,1798.0,1.0,1.0,-3.946561268362808,7.928164098095718e-05,0.0008964924018615
USP18,-0.291932576576728,-0.1386463062859809,-0.153286270290747,-0.3690714182102668,-0.2077690008479295,-0.2165492506584957,-0.0629620304022524,1.0,0.9995,1985.0,2080.0,1.0,1.0,-2.663150300055266,0.0077412828342243,0.0443364380505574
CDH1,-0.3314037378919827,-0.1786065368984688,-0.1527972009935139,-0.406706236096832,-0.2497615267117243,-0.2539444374973004,-0.0990013551834927,1.0,1.0,1925.0,2493.0,1.0,1.0,-2.7082530914334546,0.0067638419921355,0.0411952760292407
MYC,-0.489602693641364,-0.6123931430745284,0.1227904494331644,-0.5548117465522313,-0.4232501424684227,-0.6608875411094983,-0.5578191850993297,1.0,1.0,2085.0,1627.0,1.0,1.0,2.9287748057128065,0.0034030087049236,0.0246020793257593
PAX8,-0.585262541433264,-0.7143563488182223,0.1290938073849583,-0.6403202210582275,-0.5278663769049823,-0.7555125226239348,-0.6770401016073275,1.0,1.0,1584.0,1163.0,1.0,1.0,3.728553303289801,0.000192582177246,0.0019301986401248
ZNF217,-0.298694416626883,-0.4403362157328063,0.1416417991059232,-0.3771617279503245,-0.2225632250591367,-0.5043270640749631,-0.3747095478205776,1.0,1.0,2564.0,1474.0,1.0,1.0,2.719836991333464,0.0065314105125495,0.0405683385356952
CCNE2,-0.250986907367941,-0.3963843480197119,0.1453974406517708,-0.3327556612584692,-0.170713286328463,-0.4637118775593159,-0.3283100657745743,1.0,1.0,2363.0,2169.0,1.0,1.0,2.6921342808415147,0.0070996353645166,0.0421612819033022
RBM47,-0.1915875531197219,-0.3422783572115024,0.1506908040917805,-0.2747014220152066,-0.1108989931137683,-0.4125637244781519,-0.270917949708064,1.0,1.0,2561.0,1712.0,1.0,1.0,2.688830299020053,0.0071702860379765,0.0421612819033022
TP63,-0.5833440277884909,-0.739365740620768,0.156021712832277,-0.6397796223606806,-0.5284866618803876,-0.7760830599317248,-0.7020134486876184,1.0,1.0,1721.0,1436.0,1.0,1.0,4.653575021930514,3.2622883122951724e-06,5.99445477384238e-05
CEP170,-0.0843083388073313,-0.2464493354357968,0.1621409966284655,-0.1734316916883735,0.0052448975435486,-0.3190172179730238,-0.166258730368652,0.966,1.0,2542.0,2171.0,1.0,1.0,2.7621107688955338,0.0057428991102306,0.0378002762330107
FOXA2,-0.3521727192585703,-0.5450861254123445,0.1929134061537741,-0.4332066470774423,-0.275102415651413,-0.6019024355227391,-0.4929720597821083,1.0,1.0,2063.0,1872.0,1.0,1.0,4.02352850562988,5.733264116670615e-05,0.0006653603882767
PTP4A1,-0.1428899828133653,-0.3380908276210991,0.1952008448077338,-0.2301448223685058,-0.0618739582300285,-0.4072861337682148,-0.2678124959923429,0.9995,1.0,2249.0,2002.0,1.0,1.0,3.43876775201745,0.0005843683354264,0.0052593150188384
MECOM,-0.2068516896898724,-0.4038263309916439,0.1969746413017714,-0.2848050557821299,-0.1210493238277117,-0.4673997967137845,-0.3341615033009522,1.0,1.0,1984.0,1983.0,1.0,1.0,3.60853288694381,0.0003079334840391,0.0029521449230705
ACSL4,-0.0669619804480193,-0.2773359259270787,0.2103739454790593,-0.1513063071943051,0.0228441472199738,-0.3592515104982734,-0.2069155545420344,0.931,1.0,2383.0,2051.0,1.0,1.0,3.598599484923911,0.0003199354635373,0.0030019476472334
LIN28B,-0.1982902321565503,-0.4093599041895922,0.2110696720330418,-0.2791615912903586,-0.1088134044143713,-0.4713896409256966,-0.3323462448111925,1.0,1.0,2278.0,1860.0,1.0,1.0,3.865662166745091,0.0001107882059157,0.0011916487514351
GATA3,-0.3515158231819011,-0.5751139013742382,0.2235980781923371,-0.4283027012430401,-0.2783562179076808,-0.6282142382848512,-0.5128313519362337,1.0,1.0,2073.0,1578.0,1.0,1.0,4.759295027302119,1.942702978835573e-06,3.724921798549947e-05
SALL1,-0.0965838086761097,-0.3393815796621536,0.2427977709860439,-0.1785953309125076,-0.0155361577582588,-0.4121980766877851,-0.2636558459525879,0.989,1.0,2760.0,2207.0,1.0,1.0,4.239481900862336,2.240362550680004e-05,0.0003087499640155
FOXA1,-0.2699496639574353,-0.5188483775044908,0.2488987135470554,-0.3484843122240149,-0.1912093814455326,-0.5767176191077519,-0.4582241747087949,1.0,1.0,2167.0,1775.0,1.0,1.0,4.924480421272495,8.458479676061084e-07,1.865094768571469e-05
FGFR2,-0.1351228670437847,-0.3926547186521684,0.2575318516083836,-0.2145298091968968,-0.0491400988265118,-0.4565630264637665,-0.320842420592327,0.999,1.0,2477.0,1972.0,1.0,1.0,4.610906177168658,4.009174657790731e-06,7.07218409634285e-05
TRPS1,-0.2701283862654944,-0.5292155284504755,0.2590871421849811,-0.3489462395797109,-0.1902588863661706,-0.5834925945788687,-0.4665407264058206,1.0,1.0,2249.0,1751.0,1.01,1.0,5.157512519365362,2.5025212247703146e-07,6.491834471315934e-06
MYCN,-0.3774160446889982,-0.6621248227324699,0.2847087780434716,-0.4486776937067303,-0.306122246230438,-0.7102263964879418,-0.6172198549657224,1.0,1.0,2166.0,1491.0,1.0,1.0,6.603556841815615,4.014082830120522e-11,1.609282298257409e-09
SOX2,-0.2572636401227415,-0.5891881797284243,0.3319245396056828,-0.3424034167838057,-0.1788096131501582,-0.6401701818017786,-0.5353383719775859,1.0,1.0,2328.0,2045.0,1.0,1.0,6.830003882409745,8.491233465682618e-12,4.1607043981844827e-10
